,Kuntanro,Puolue,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto
0,186,'KOK',"'2030,50'",'1770',0,0,0,0,"'184,50'",'76',0,0,0,0,"'2030,50'",KOK   ,1,54, ,,1.0,41,63,104,6,1
1,186,'KOK',0,0,0,0,0,0,0,0,0,0,0,0,0,KOK   ,2,28, ,,,16,54,70,4,2
2,186,'YL J',0,0,0,0,0,0,0,0,0,0,0,0,0,YL JP ,2,41, ,,,10,45,55,3,2
3,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,65, ,,1.0,127,94,221,13,1
4,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,52, ,,,26,37,63,4,2
5,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,74, ,,1.0,42,48,90,5,2
6,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,1,73, ,,1.0,85,39,124,7,1
7,186,'SDP',0,0,0,0,0,0,0,0,0,0,0,0,0,SDP   ,2,60, ,,1.0,38,59,97,6,1
8,186,'SDP','1730','1346',0,0,0,0,0,'384',0,0,0,0,'1730',SDP   ,1,67, ,,,86,90,176,10,1
9,186,'KOK',"'2329,50'","'1010,50'",0,0,0,0,0,'622','246',0,0,'451',"'2329,50'",KOK   ,1,37, ,,,62,76,138,8,1
10,186,'VIHR',0,0,0,0,0,0,0,0,0,0,0,0,0,VIHR  ,2,58, ,,,28,63,91,5,2
