,Kuntanro,Puolueen/ryhmän nimilyhenne suomeksi,Sukupuoli,Ikä vaalipäivänä,Ehdokkaan kieli,Europarlamentaarikko,Kansanedustaja,Kunnanvaltuutettu,Ennakkoäänet lkm,Vaalipäivän äänet lkm,Äänet yhteensä lkm,Osuus äänistä yht. (%),Valintatieto,Arvo/ammatti/tehtava,Vaalikampanjan kulut yhteensa,Sanoma- ilmaisjakelu- ja aikakauslehdet,Radio,Televisio,Tietoverkot,Muut viestintavalineet,Ulkomainonta,Vaalilehtien esitteiden ja muun painetun materiaalin hankinta,Mainonnan suunnittelu,Vaalitilaisuudet,Vastikeellisen tuen hankintakulut,Muut kulut,Vaalikampanjan rahoitus yhteensa
0,91,KESK  ,2,37,FI, , , ,156,105,261,1,2,"lukion lehtori, teologian maisteri",0,0,0,0,0,0,0,0,0,0,0,0,0
1,91,KESK  ,2,63,FI, , ,1,1214,465,1679,5,1,"professori, tietokirjailija",4500,3000,0,0,0,0,0,600,900,0,0,0,4500
2,91,KESK  ,2,31,FI, , , ,427,225,652,2,2,"ministerin erityisavustaja, valtiotieteiden maisteri","17164,89","1923,07",0,0,"7108,98",0,"5781,44","477,4",1874,0,0,0,"17164,89"
3,91,KESK  ,2,45,FI, , ,1,772,386,1158,3,1,"kÃ¤tilÃ¶ (AMK), kasvatustieteen maisteri","2599,50","2097,50",0,0,0,0,0,332,0,0,0,170,"2599,50"
4,91,SDP   ,2,36,98, , ,1,4979,2975,7954,24,1,"apulaispormestari, bitrÃ¤dande borgmÃ¤stare","27252,75","4524,89",0,0,"11421,14",0,"6700,78","1598,7","2095,6","511,55","74,4","325,69","27775,16"
5,91,SDP   ,2,63,FI, , , ,1165,564,1729,5,1,"lastentarhanopettaja, omaishoitaja","13751,30","2259,10",0,0,"1244,00",0,"3029,78","6268,42",0,0,"950,00",0,"14256,00"
6,91,SDP   ,1,35,98, , , ,800,203,1003,3,1,diplomatian ja poliittisen konsultoinnin maisteri,"1732,87","73,00","0,00","0,00","0,00","0,00","298,00","691,93","0,00","400,00","0,00","269,94","1732,87"
7,91,SDP   ,1,73,FI, , ,1,839,425,1264,4,1,"professori, professor","13044,30","7944,06",0,0,0,0,"3102,24",1798,0,0,0,200,"13044,30"
8,91,SDP   ,2,26,FI, , , ,273,235,508,2,2,lastensuojelun ammattilainen,"2458,51",950,0,0,470,0,"874,52","163,99",0,0,0,0,"2458,51"
9,91,SDP   ,2,27,FI, , , ,505,298,803,2,1,"juristi, pÃ¤Ã¤ministerin erityisavustaja",8875,0,0,0,7311,0,0,0,1364,0,0,200,8875
10,91,SDP   ,2,61,FI, ,1,1,1505,770,2275,7,1,"sairaanhoitaja, valtiot. maisteri, sjukskÃ¶tare, pol.mag.","4525,99","3962,25","0,00","0,00","130,00","0,00","0,00","233,74","0,00","0,00","0,00","200,00","4525,99"
11,91,SDP   ,1,58,FI, ,1, ,700,452,1152,3,1,"liikenne- ja viestintÃ¤ministeri, toimittaja-kirjailija, kommunikationsminister, journalist",7851,"456,93",0,0,"218,27",0,"2297,54","3467,94","595,57","814,75",0,0,7851
12,91,SDP   ,2,33,FI, ,1,1,4620,2360,6980,21,1,"kansanedustaja, kaupunginvaltuutettu","22234,38","7118,28",0,0,"2066,73",0,"5929,63","927,72","2216,80","1806,84",0,"2168,38","22234,38"
13,91,SDP   ,2,45,98, , , ,381,134,515,2,2,"valmentaja, lÃ¤hihoitaja",0,0,0,0,0,0,0,0,0,0,0,0,0
14,91,SDP   ,2,47,FI, , , ,262,231,493,1,2,"jÃ¤rjestÃ¶asiantuntija, sairaanhoitaja (AMK)","1307,19","405,0",0,0,"275,0",0,"108,70","318,49",0,0,0,200,"1307,19"
15,91,SDP   ,1,45,FI, , ,1,1299,731,2030,6,1,"dosentti, kaupunginvaltuutettu","8421,21","2754,63",0,0,"1037,39","567,71","2086,97","1774,51",0,0,0,200,"8421,21"
16,91,SDP   ,1,56,FI, , ,1,350,278,628,2,2,"kaupunginvaltuutettu, sosionomi",0,0,0,0,0,0,0,0,0,0,0,0,0
17,91,SDP   ,2,47,FI, , , ,225,178,403,1,2,lapsioikeuslakimies,1500,1000,0,0,0,500,0,0,0,0,0,0,1500
18,91,SDP   ,1,37,FI, , , ,212,156,368,1,2,elinkeinoasioiden pÃ¤Ã¤llikkÃ¶,4321,0,0,0,600,0,2259,1262,0,0,0,200,4405
19,91,SDP   ,2,30,FI, , , ,215,170,385,1,2,lÃ¤Ã¤kÃ¤ri,"2075,00","300,00",0,0,"420,00",0,"530,00","250,00","375,00",0,0,"200,00","2075,00"
20,91,SDP   ,2,29,FI, , , ,191,179,370,1,2,"pÃ¤Ã¤ministerin erityisavustaja, VTK, statsministerns specialmedarbetare, PK",0,0,0,0,0,0,0,0,0,0,0,0,0
21,91,SDP   ,1,37,FI, , , ,170,152,322,1,2,tapahtuma- ja koulutusasiantuntija,"4205,36",300,0,0,0,"1205,36",0,492,0,1230,0,978,"4205,36"
22,91,SDP   ,2,29,FI, , , ,231,175,406,1,2,terveyskeskuslÃ¤Ã¤kÃ¤ri,"1690,93",0,0,0,"161,93",0,"524,86","195,3",372,"236,84",0,200,1750
23,91,SDP   ,2,40,FI, , , ,288,151,439,1,2,"kuntaministerin erityisavustaja, KM",4966,990,0,0,370,0,1266,1255,0,0,0,1085,4966
24,91,SDP   ,1,78,FI, , ,1,479,318,797,2,1,"lÃ¤Ã¤kÃ¤ri, kaupunginvaltuutettu, lÃ¤kare, stadsfullmÃ¤ktigeledamot",4560,4360,0,0,0,0,0,0,0,0,0,200,4560
25,91,SDP   ,2,45,FI, , ,1,756,408,1164,3,1,"valtiotieteen tohtori, kaupunginvaltuutettu","11514,4","2430,41",0,0,"3106,35","1247,97","1645,34","1295,8",341,0,0,"1447,53","11514,4"
26,91,SDP   ,1,74,FI, ,1, ,1346,762,2108,6,1,"kansanedustaja, valtiot. tri, riksdagsledamot, politices doktor","3139,62","2282,90",0,0,"366,12",0,0,"310,80","179,80",0,0,0,"3139,62"
27,91,SDP   ,2,64,FI, , ,1,826,374,1200,4,1,"sairaanhoitaja, terveydenhoitaja","3349,38","2467,27",0,0,"465,11",0,0,"375,00",0,0,0,"42,00","3349,38"
28,91,SDP   ,1,57,FI, , , ,219,139,358,1,2,"diplomi-insinÃ¶Ã¶ri, erikoistutkija",0,0,0,0,0,0,0,0,0,0,0,0,0
29,91,SDP   ,1,63,SV, , ,1,390,210,600,2,2,professor,"9552,90","6508,19",0,0,"2181,89",0,0,"159,68",0,0,0,"703,14","9552,90"
30,91,KOK   ,1,48,98, , , ,579,93,672,2,2,asiantuntija,2500,0,0,0,0,0,0,1000,0,1500,0,0,2500
31,91,KOK   ,1,29,FI, , , ,365,277,642,2,2,"pÃ¤Ã¤lakimies, OTM","11088,09","1118,36",0,0,"2834,29",0,"2760,06","1526,11",1488,0,0,"1361,27","11088,09"
32,91,KOK   ,1,35,SV, , ,1,335,309,644,2,2,"elinkeinopolitiikan erityisasiantuntija, lakimies, specialsakkunnig","30580,01","4175,80",0,0,"14363,71","3737,42","403,68","2498,60","4997,20","341,60",62,0,"30580,01"
33,91,KOK   ,2,81,FI, , ,1,567,174,741,2,2,"professori, kaupunginvaltuutettu",5262,2394,0,0,0,0,1977,851,0,40,0,0,5262
34,91,KOK   ,2,40,SV, , , ,430,266,696,2,2,"yrittÃ¤jÃ¤, pormestarin erityisavustaja, fÃ¶retagare",3800,0,0,0,2800,200,0,0,400,0,0,400,3800
35,91,KOK   ,1,77,SV, , ,1,591,481,1072,3,1,"valtuuston varapuheenjohtaja, VTM, pol.mag.","10237,75","5136,02",0,0,"2475,13",0,0,"1213,00","1413,60",0,0,0,"10237,75"
36,91,KOK   ,2,61,FI, , , ,547,283,830,2,1,"lÃ¤Ã¤kÃ¤ri, professori, lÃ¤kare, professor","3303,55","1585,96",0,0,0,"146,57",0,"1422,22",0,0,0,"148,80","3303,55"
37,91,KOK   ,1,45,FI, , , ,222,268,490,1,2,"liikuntatieteiden lisensiaatti, lehtori",2929,1149,0,0,175,0,650,955,0,0,0,0,2929
38,91,KOK   ,1,53,FI, , ,1,533,333,866,3,1,"ylikomisario, kaupunginvaltuutettu","12849,50","10040,58",0,0,"496,58",0,"1969,54","271,40",0,"71,40",0,0,"12849,50"
39,91,KOK   ,1,35,FI, , , ,299,321,620,2,2,yrittÃ¤jÃ¤,1000,0,0,0,300,0,500,200,0,0,0,0,1000
40,91,KOK   ,2,38,FI, , , ,511,462,973,3,1,"apulaispormestarin erityisavustaja, VTM","5961,20",305,0,0,"3968,73",0,0,"1072,60","405,28","209,59",0,0,"5961,20"
41,91,KOK   ,1,42,FI, , ,1,1416,815,2231,7,1,"kaupunginvaltuutettu, yrittÃ¤jÃ¤, stadsfullmÃ¤ktig, fÃ¶retagare","11797,54",200,0,0,0,0,0,"10645,22",0,0,0,"952,32","11797,54"
42,91,KOK   ,2,66,FI, , ,1,856,297,1153,3,1,"kaupunginvaltuutettu, erik.fysioterapeutti,  stadsfullmÃ¤ktig, spec.fysioterapeut","33048,09","17044,09",0,0,"420,00",0,"2940,00","12644,00",0,0,0,0,"33048,09"
43,91,KOK   ,1,57,FI, , , ,349,236,585,2,2,"yrittÃ¤jÃ¤, KTM","6222,91",4200,0,0,"1712,91",0,310,0,0,0,0,0,"6222,91"
44,91,KOK   ,2,34,FI, , , ,501,242,743,2,1,"johtaja, YTM","13145,72","3154,62",0,0,"4105,12",0,"3490,83","187,55",0,0,0,"2207,6","13145,72"
45,91,KOK   ,1,71,FI, , ,1,465,245,710,2,2,"kotiseutuneuvos, kaupunginvaltuutettu","3816,44","2920,44",0,0,"496,00",0,0,"400,00",0,0,0,0,"3816,44"
46,91,KOK   ,1,60,FI, , , ,336,269,605,2,2,"tyÃ¶- ja kehityspÃ¤Ã¤llikkÃ¶, yrittÃ¤jÃ¤",1118,718,0,0,0,0,200,200,0,0,0,0,1118
